ca,k,MAP,A,w,E,g1,cica,p0,lambda,EP
400,0.025,182.5,5.252001808,40.01829108,0.000997497,0.726802569,0.337306477,0.209497465,0.000290633,0.997496627
400,0.05,182.5,5.292250393,43.15397811,0.000999613,0.727323746,0.338967496,0.032328406,0.000278057,0.999612524
400,0.1,182.5,5.304054954,46.32485488,0.000999881,0.727200738,0.339415334,0.004306729,0.00026625,0.999880524
400,0.025,365,7.907315563,42.20252171,0.001953888,1.329057984,0.474197527,0.57241225,0.00053107,0.976944092
400,0.05,365,8.112613241,44.00761264,0.001990728,1.349758791,0.484275888,0.111864364,0.000514778,0.995363809
400,0.1,365,8.184463009,45.74726527,0.001998492,1.353178804,0.48764346,0.017983961,0.000493887,0.999245791
400,0.025,547.5,9.323587382,44.81507858,0.002810162,1.899698332,0.555154078,0.79759433,0.000807845,0.936720816
400,0.05,547.5,9.70983765,45.74596306,0.002952452,1.990789251,0.576114114,0.180456033,0.000831569,0.984150617
400,0.1,547.5,9.863845926,46.69184536,0.002991101,2.013889479,0.584264458,0.032399999,0.000811541,0.997033768
400,0.025,730,10.16243954,46.9058439,0.003547151,2.403323642,0.605947784,0.924328832,0.001085428,0.886787846
400,0.05,730,10.69462395,47.40865171,0.003865088,2.616394648,0.636625848,0.229146037,0.001202418,0.966272039
400,0.1,730,10.9267462,47.75495048,0.003971292,2.685702761,0.649867508,0.044642741,0.001214075,0.992823044
400,0.025,912.5,10.70582055,48.51421755,0.004173065,2.83659761,0.640021622,0.998844137,0.00134712,0.834612906
400,0.05,912.5,11.34832475,48.84421692,0.004717245,3.209207622,0.678543824,0.26298903,0.001604466,0.943449002
400,0.1,912.5,11.64701521,48.75163078,0.00493284,3.355225385,0.696461511,0.054572724,0.00169128,0.986568025
400,0.025,1095,11.0826181,49.76504029,0.004704348,3.207150035,0.664203468,1.045229597,0.001586798,0.784058024
400,0.05,1095,11.80819593,50.05624006,0.005504967,3.761902951,0.708907648,0.286951777,0.002020568,0.91749446
400,0.1,1095,12.1618942,49.66511453,0.005870296,4.014068424,0.730886706,0.062551957,0.002230065,0.978382656
400,0.025,1277.5,11.35770668,50.75660878,0.00515757,3.524777142,0.68214419,1.075623731,0.001803482,0.736795764
400,0.05,1277.5,12.14680989,51.08313628,0.006228837,4.272537178,0.73173618,0.304296551,0.002438119,0.889833889
400,0.1,1277.5,12.5455794,50.49052514,0.006779608,4.656897576,0.757171357,0.069010547,0.002818663,0.96851543
400,0.025,1460,11.56666959,51.5582199,0.005546989,3.798589851,0.69593555,1.096409707,0.00199839,0.693373676
400,0.05,1460,12.4052473,51.95762938,0.006892214,4.742189608,0.749434117,0.317168454,0.002849036,0.861526703
400,0.1,1460,12.84113557,51.2400215,0.007657763,5.280141626,0.777793351,0.074268739,0.003445149,0.957220346
400,0.025,1642.5,11.7304564,52.21802816,0.005884199,4.036256602,0.706843377,1.111127679,0.002173533,0.653799907
400,0.05,1642.5,12.60829357,52.70884074,0.007499615,5.173309026,0.763506947,0.326924935,0.003248031,0.833290604
400,0.1,1642.5,13.0749029,51.91587021,0.0085032,5.881817142,0.794343494,0.078610926,0.004100594,0.944800039
400,0.025,1825,11.86209484,52.76958587,0.006178472,4.244031742,0.715673338,1.121863133,0.002331129,0.61784717
